,Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,2019Happiness Rank,2019Happiness Score,2015LE,2016LE,2017LE,2018LE,2019LE,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP,2015HF,2016HF,2017HF,2018HF,2019HF,2015LS,2016LS,2017LS,2018LS,2019LS
0,Afghanistan,153.0,3.575,154.0,3.36,141.0,3.79399991,145.0,3.632,154.0,3.2030000000000003,63.377,63.76300000000001,64.13,64.486,0,578.4663529000002,547.2281102000002,556.3020024,524.1628808999999,502.1154869,0,0.0,0.0,0,0,0,4.220168591,2.66171813,2.694303274,0
1,Albania,95.0,4.959,109.0,4.655,109.0,4.644000053,112.0,4.586,107.0,4.7189999999999985,78.025,78.194,78.333,78.458,0,3952.801215,4124.055726,4531.020806,5284.3801840000015,5352.857411,7.58,7.67,7.84,0,0,0,4.511100769,4.639548302,5.004402637,0
2,Algeria,68.0,5.605,38.0,6.355,53.0,5.872000217,84.0,5.295,88.0,5.211,76.09,76.298,76.499,76.693,0,4177.892515,3946.443977,4044.2766,4114.715061,3948.343279,5.04,5.22,4.99,0,0,0,5.340853691,5.248912334,5.043086052,0
3,Argentina,30.0,6.574,26.0,6.65,24.0,6.598999977,29.0,6.388,47.0,6.086,76.068,76.221,76.372,76.52,0,13789.060419999998,12790.24247,14591.86338,11683.94962,10006.14897,6.54,6.75,6.86,0,0,0,6.427221297999999,6.039330006,5.792796612,0
4,Armenia,127.0,4.35,121.0,4.36,121.0,4.375999928,129.0,4.3210000000000015,116.0,4.559,74.467,74.64,74.797,74.945,0,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493,7.34,7.44,7.42,0,0,0,4.325471878,4.287736416,5.062448502,0
5,Australia,10.0,7.284,9.0,7.313,10.0,7.28399992,10.0,7.272,11.0,7.228,82.4,82.44878049,82.5,82.74878049,0,56755.72171000001,49971.13146,54066.47127,57395.91947000001,54907.10191000001,8.61,8.62,8.62,0,0,0,7.250080109,7.25703764,7.17699337,0
6,Austria,13.0,7.2,12.0,7.119,13.0,7.006000042,12.0,7.1389999999999985,10.0,7.246,81.1902439,81.64146341,81.64390244,81.69268293,0,44178.04738,45237.80509,47549.07904,51525.04643,50277.27509,8.56,8.47,8.48,0,0,0,7.048071861,7.293727875,7.396001816,0
7,Azerbaijan,80.0,5.2120000000000015,81.0,5.291,85.0,5.234000206,87.0,5.2010000000000005,90.0,5.207999999999998,72.266,72.493,72.693,72.86399999999998,0,5500.310382,3880.738731,4147.089716,4739.8417100000015,4793.58702,5.97,6.07,6.22,0,0,0,5.303894997,5.152279377,5.1679954530000005,0
8,Bahrain,49.0,5.96,42.0,6.218,41.0,6.086999893,43.0,6.105,37.0,6.199,76.762,76.899,77.032,77.163,0,22688.9444,22619.11667,23709.43047,23991.05668,23503.977130000007,6.66,6.65,6.63,0,0,0,6.169673443,6.227320671,0.0,0
9,Bangladesh,109.0,4.694,110.0,4.643,110.0,4.607999802,115.0,4.5,125.0,4.456,71.514,71.785,72.05199999999998,72.32,0,1248.453398,1401.620466,1563.913857,1698.350394,1855.739824,5.75,5.7,5.77,0,0,0,4.556140900000001,4.309771061,4.499217033,0
10,Belarus,59.0,5.813,61.0,5.8020000000000005,67.0,5.568999767,73.0,5.483,81.0,5.323,73.62439024,73.82682927,74.12926829,74.17560976,0,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293,-,6.16,6.65,0,0,0,5.177899361000001,5.552915096,5.233769894,0
11,Belgium,19.0,6.937,18.0,6.9289999999999985,17.0,6.890999794,16.0,6.9270000000000005,18.0,6.922999999999999,80.99268293,81.43902439,81.49268293,81.59512195,0,40991.80814,41998.33575,44288.50804,47491.32326000001,46116.69923,8.37,8.22,8.29,0,0,0,6.948936462000001,6.928347587999999,6.89217186,0
12,Benin,155.0,3.34,52.0,5.956,50.0,5.9559998510000005,49.0,5.956,102.0,4.883,60.608,60.885,61.174,61.47,0,1076.797716,1087.287832,1136.592847,1240.829464,1219.432672,6.67,6.67,6.77,0,0,0,4.007357597,4.853180885,5.81982708,0
13,Bhutan,79.0,5.252999999999999,153.0,3.484,143.0,3.657000065,136.0,4.141,95.0,5.082,70.419,70.781,71.12899999999998,71.46,0,2752.664208,2930.562989,3286.574703,3243.231126,0.0,6.74,6.57,6.53,0,0,0,0.0,0.0,0.0,0
14,Bolivia,51.0,5.89,84.0,5.1960000000000015,97.0,5.011000156000001,97.0,5.082,61.0,5.779,70.277,70.626,70.945,71.23899999999998,0,3035.972215,3076.658949,3351.12404,3548.590153,3552.068762,6.64,6.65,6.61,0,0,0,5.769723415,5.65055275,5.9157342910000015,0
15,Bosnia and Herzegovina,96.0,4.949,59.0,5.822,58.0,5.822999954,62.0,5.752000000000002,78.0,5.386,76.865,76.998,77.128,77.262,0,4727.277546,4994.68314,5394.59122,6072.180992000001,6073.265203,7.3,7.39,7.37,0,0,0,5.180865288,5.089902401,5.8874011039999985,0
16,Botswana,128.0,4.332,87.0,5.1629999999999985,90.0,5.18200016,93.0,5.129,148.0,3.488,67.33800000000001,68.178,68.812,69.275,0,6799.875234,7243.852997,7893.210108,8279.601365,7961.338140000002,7,7.08,7.17,0,0,0,3.4989366530000003,3.504881144,3.4613657,0
17,Brazil,16.0,6.983,137.0,3.974,142.0,3.766000032,146.0,3.59,32.0,6.3,74.994,75.23,75.456,75.672,0,8814.000987000001,8710.09669,9925.386238,9001.234249,8717.186278,6.21,6.28,6.48,0,0,0,6.374817371000002,6.332929134,6.190921782999999,0
18,Bulgaria,134.0,4.218,17.0,6.952000000000001,22.0,6.635000229,28.0,6.419,97.0,5.011,74.61463415,74.81219512,74.81463415,74.96341463,0,7053.603706,7545.790332,8331.058025,9423.558612,9737.601351,7.82,7.78,7.79,0,0,0,4.837560654,5.096901894,5.098813534,0
19,Burkina Faso,152.0,3.587,129.0,4.217,105.0,4.714000225,100.0,4.933,115.0,4.587,59.919,60.354,60.768,61.174,0,653.3269795,687.670175,738.2741589,820.1607938,774.8396902000002,6.56,6.63,6.73,0,0,0,4.205634594,4.646891117,4.92723608,0
20,Burundi,157.0,2.905,145.0,3.739,134.0,4.032000065,121.0,4.424,145.0,3.775,60.12300000000001,60.528,60.898,61.247,0,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725,5.13,5.39,5.56,0,0,0,0.0,0.0,3.775283098,0
21,Cambodia,145.0,3.819,157.0,2.905,154.0,2.904999971,156.0,2.905,109.0,4.7,68.637,68.977,69.289,69.57,0,1162.90492,1269.591257,1385.25998,1512.12671,1643.121389,7.4,7.33,7.13,0,0,0,4.461259365,4.585842133,5.1218376160000005,0
22,Cameroon,133.0,4.252,140.0,3.907,129.0,4.168000221000002,120.0,4.433,96.0,5.044,57.583,58.063,58.511,58.92100000000001,0,1327.503017,1364.33011,1425.107818,1534.491274,1497.909176,5.42,5.68,5.64,0,0,0,4.816232203999999,5.07405138,5.250737667,0
23,Canada,5.0,7.427,114.0,4.513,107.0,4.695000172,99.0,4.975,9.0,7.278,81.9,81.9,81.94878049,81.94878049,0,43585.51198,42322.48478,45148.55271,46313.17137,46194.72523,8.57,8.6,8.65,0,0,0,7.244845867,7.414868355,7.175496578,0
24,Central African Republic,148.0,3.678,6.0,7.404,7.0,7.315999985,7.0,7.3279999999999985,155.0,3.083,50.881,51.593,52.24,52.805,0,377.4230017,402.19129060000006,450.900245,475.9536099,467.9074406,0,0.0,0.0,0,0,0,2.693061113,3.475862026,0.0,0
25,Chad,149.0,3.667,144.0,3.763,155.0,2.6930000780000003,155.0,3.083,132.0,4.35,53.137,53.438,53.712,53.977,0,776.0195323,693.4493865000002,665.9483527000001,726.1498811,709.5403100999998,5.4,5.11,5.46,0,0,0,4.029350281,4.558937073,4.486325264,0
26,Chile,27.0,6.67,24.0,6.705,137.0,3.936000109,131.0,4.301,26.0,6.444,79.646,79.779,79.90899999999998,80.042,0,0.0,0.0,0.0,0.0,0.0,8.02,8.0,8.15,0,0,0,6.579056262999999,6.3201193810000005,6.4362206460000015,0
27,China,84.0,5.14,83.0,5.245,20.0,6.65199995,25.0,6.476,93.0,5.191,75.928,76.21,76.47,76.704,0,13574.17183,13753.59444,14999.37009,15924.79424,14896.45387,5.91,6.02,6.17,0,0,0,5.32495594,5.099061489,5.131433964,0
28,Colombia,33.0,6.477,31.0,6.481,79.0,5.2729997630000005,86.0,5.246,43.0,6.125,76.531,76.732,76.925,77.109,0,8066.942424,8147.938148,8879.438149,9976.676822,10261.67913,6.81,6.83,6.93,0,0,0,6.233715057,6.157341957000001,5.983512402000001,0
29,Comoros,140.0,3.956,138.0,3.956,36.0,6.356999874,37.0,6.26,142.0,3.973,63.471,63.7,63.912,64.118,0,6175.876132,5871.223575,6377.851363000002,6718.585324,6432.387583,0,0.0,0.0,0,0,0,0.0,0.0,3.972819567,0
30,Congo (Brazzaville),139.0,3.989,127.0,4.2360000000000015,124.0,4.290999889,114.0,4.559,103.0,4.812,59.254,59.655,60.026,60.368,0,1242.60319,1273.058953,1323.81159,1415.9553130000004,1393.522372,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
31,Congo (Kinshasa),120.0,4.517,125.0,4.272,126.0,4.28000021,132.0,4.245,127.0,4.418,63.097,63.556,63.95399999999999,64.29,0,497.3169608,471.3188404,467.0742375,557.0644182999998,545.2162122999998,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
32,Costa Rica,12.0,7.226,14.0,7.0870000000000015,12.0,7.078999996,13.0,7.072,12.0,7.167000000000002,79.565,79.738,79.914,80.095,0,1762.032018,1815.295843,1767.8945210000004,2223.854479,2011.072399,7.84,7.79,7.7,0,0,0,7.135617732999999,7.22518158,7.141074657000001,0
33,Croatia,62.0,5.759,74.0,5.488,77.0,5.293000221000001,82.0,5.3210000000000015,75.0,5.432,77.27560976,78.02195122,77.82682927,78.07073171,0,11299.13554,11666.45591,11814.62657,12112.13442,12238.37496,7.8,7.72,7.86,0,0,0,5.416875362000001,5.343165873999999,5.536271095,0
34,Cyprus,67.0,5.689,69.0,5.546,65.0,5.620999812999999,61.0,5.7620000000000005,49.0,6.046,80.35,80.513,80.672,80.828,0,1972.546108,2013.382462,2111.0270760000008,2302.612951,2286.162777,8.17,8.09,7.93,0,0,0,5.794618607,6.062051296,6.276443005,0
35,Czech Republic,31.0,6.505,27.0,6.596,23.0,6.609000206,21.0,6.711,20.0,6.852,78.57804878,79.02682927,78.97804878,79.02926829,0,11782.89908,12360.48382,13412.33829,14920.191380000002,14853.23984,0,0.0,0.0,0,0,0,6.735627173999998,6.789567947,7.034165382,0
36,Denmark,3.0,7.527,1.0,7.526,2.0,7.521999836,3.0,7.555,2.0,7.6,80.70243902,80.85365854,81.10243902,80.95365854,0,23333.71491,24532.51906,26338.69434,28689.70672,27858.371,8.6,8.52,8.56,0,0,0,7.55778265,7.593702316,7.648785591,0
37,Dominican Republic,98.0,4.885,51.0,5.976,44.0,6.007999897,48.0,5.973,77.0,5.425,0.0,0.0,0.0,0.0,0,53254.856,54663.99837,57141.05984,61390.69301,59822.09296,0,0.0,0.0,0,0,0,5.238698483,5.605202675,5.433215617999999,0
