Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,2019Happiness Rank,2019Happiness Score,1960LE,1961LE,1962LE,1963LE,1964LE,1965LE,1966LE,1967LE,1968LE,1969LE,1970LE,1971LE,1972LE,1973LE,1974LE,1975LE,1976LE,1977LE,1978LE,1979LE,1980LE,1981LE,1982LE,1983LE,1984LE,1985LE,1986LE,1987LE,1988LE,1989LE,1990LE,1991LE,1992LE,1993LE,1994LE,1995LE,1996LE,1997LE,1998LE,1999LE,2000LE,2001LE,2002LE,2003LE,2004LE,2005LE,2006LE,2007LE,2008LE,2009LE,2010LE,2011LE,2012LE,2013LE,2014LE,2015LE,2016LE,2017LE,2018LE,1960GDP,1961GDP,1962GDP,1963GDP,1964GDP,1965GDP,1966GDP,1967GDP,1968GDP,1969GDP,1970GDP,1971GDP,1972GDP,1973GDP,1974GDP,1975GDP,1976GDP,1977GDP,1978GDP,1979GDP,1980GDP,1981GDP,1982GDP,1983GDP,1984GDP,1985GDP,1986GDP,1987GDP,1988GDP,1989GDP,1990GDP,1991GDP,1992GDP,1993GDP,1994GDP,1995GDP,1996GDP,1997GDP,1998GDP,1999GDP,2000GDP,2001GDP,2002GDP,2003GDP,2004GDP,2005GDP,2006GDP,2007GDP,2008GDP,2009GDP,2010GDP,2011GDP,2012GDP,2013GDP,2014GDP,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP
Afghanistan,153,3.575,154,3.36,141,3.79399991,145,3.632,154,3.203,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.211,48.93,49.64,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,59.77319,59.86087,58.45801,78.70639,82.09523,101.1083,137.5944,160.8986,129.1083,129.3297,156.5189,159.5676,135.3173,143.1446,173.6538,186.5109,197.4455,224.2248,247.3541,275.7382,272.6553,264.1113,,,,,,,,,,,,,,,,,,,,,179.4266,190.6838,211.3821,242.0313,263.7337,359.6932,364.6607,438.076,543.303,591.1628,641.8715,637.1655,613.8567,578.4664,547.2281,556.302,524.1629,502.1155
Albania,95,4.959,109,4.655,109,4.644000053,112,4.586,107,4.719,62.283,63.301,64.19,64.914,65.463,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.448,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,,,,,,,,,,,,,,,,,,,,,,,,,639.4847,639.8659,693.8735,674.7934,652.7743,697.9956,617.2304,336.587,200.8522,367.2792,586.4163,750.6044,1009.978,717.3806,813.7903,1033.242,1126.683,1281.659,1425.125,1846.119,2373.58,2673.787,2972.743,3595.037,4370.54,4114.14,4094.35,4437.143,4247.63,4413.061,4578.632,3952.801,4124.056,4531.021,5284.38,5352.857
Algeria,68,5.605,38,6.355,53,5.872000217,84,5.295,88,5.211,46.141,46.599,47.056,47.509,47.958,48.394,48.811,49.21,49.597,49.982,50.372,50.773,51.201,51.676,52.218,52.866,53.661,54.609,55.7,56.909,58.198,59.519,60.813,62.029,63.13,64.087,64.884,65.545,66.097,66.554,66.938,67.27,67.575,67.877,68.194,68.54,68.919,69.323,69.745,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,,,172.246,226.9,238.0485,249.8835,235.5981,253.9237,281.9257,302.7523,336.2249,341.389,442.3519,554.7551,817.9883,936.79,1037.607,1192.744,1456.419,1782.698,2202.997,2237.086,2210.302,2312.656,2467.346,2582.88,2757.131,2807.33,2417.377,2215.848,2408.689,1731.611,1776.037,1807.329,1507.865,1452.269,1603.938,1619.806,1596.004,1588.348,1764.974,1740.642,1781.837,2103.413,2609.946,3113.101,3478.655,3950.519,4923.629,3883.261,4480.799,5455.854,5592.257,5499.581,5493.026,4177.893,3946.444,4044.277,4114.715,3948.343
Argentina,30,6.574,26,6.65,24,6.598999977,29,6.388,47,6.086,65.055,65.176,65.269,65.348,65.426,65.518,65.64,65.796,65.989,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.496,69.777,70.033,70.262,70.466,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,,,1155.89,850.3047,1173.238,1279.113,1272.803,1062.544,1141.08,1329.059,1322.591,1372.374,1408.865,2097.023,2844.864,2027.337,1948.225,2129.708,2146.364,2520.922,2758.835,2776.322,2927.898,3553.378,2659.709,2926.127,3613.622,3562.876,3985.191,2383.868,4333.483,5735.36,6823.538,6969.118,7483.14,7408.708,7721.355,8213.127,8289.506,7774.736,7708.101,7208.372,2593.404,3349.806,4277.721,5109.851,5919.012,7245.448,9020.873,8225.137,10385.96,12848.86,13082.66,13080.25,12334.8,13789.06,12790.24,14591.86,11683.95,10006.15
Armenia,127,4.35,121,4.36,121,4.375999928,129,4.321,116,4.559,65.972,66.403,66.838,67.277,67.716,68.153,68.588,69.016,69.427,69.809,70.144,70.412,70.605,70.723,70.775,70.783,70.783,70.798,70.838,70.897,70.937,70.91,70.776,70.519,70.15,69.698,69.205,68.732,68.332,68.038,67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8547,590.121,369.6326,357.2033,400.5152,456.375,504.0586,523.2831,609.1724,597.4325,622.7421,694.4232,783.2407,930.1273,1191.919,1643.753,2158.144,3139.277,4010.857,2994.343,3218.373,3525.805,3681.857,3838.186,3986.232,3607.297,3591.829,3914.501,4220.49,4622.733
Australia,10,7.284,9,7.313,10,7.28399992,10,7.272,11,7.228,70.8170732,70.9731707,70.942439,70.9117073,70.8809756,70.8502439,70.8195122,70.8692683,70.9190244,70.9687805,71.0185366,71.0682927,71.457561,71.8468293,72.2360976,72.6253659,73.0146341,73.3443902,73.6741463,74.0039024,74.3336585,74.6634146,74.904878,75.1463415,75.3878049,75.6292683,75.8707317,76.1517073,76.4326829,76.7136585,76.9946341,77.2756098,77.3780488,77.8780488,77.8780488,77.8292683,78.0780488,78.4804878,78.6317073,78.9317073,79.2341463,79.6341463,79.9365854,80.2390244,80.4902439,80.8414634,81.0414634,81.2926829,81.395122,81.5439024,81.695122,81.895122,82.0463415,82.1487805,82.3,82.4,82.4487805,82.5,82.7487805,1807.786,1874.732,1851.842,1964.15,2128.068,2277.558,2340.439,2576.285,2720.083,2986.95,3299.843,3489.952,3943.788,4763.628,6473.165,6994.21,7476.749,7765.071,8241.997,9281.523,10194.32,11833.74,12766.52,11518.67,12431.95,11437.66,11364.24,11624.54,14254.56,17798.31,18211.27,18821.48,18569.81,17634.26,18046.02,20319.63,21861.33,23468.6,21318.96,20533.04,21679.25,19490.86,20082.48,23447.03,30430.68,33999.24,36044.92,40960.05,49601.66,42772.36,52022.13,62517.83,68012.15,68150.11,62510.79,56755.72,49971.13,54066.47,57395.92,54907.1
Austria,13,7.2,12,7.119,13,7.006000042,12,7.139,10,7.246,68.5856098,69.5773171,69.3095122,69.4436585,69.9219512,69.7221951,70.0458537,69.9178049,70.057561,69.8331707,69.9146341,70.1146341,70.4634146,71.0146341,71.0121951,71.1146341,71.5658537,71.9146341,72.0121951,72.3121951,72.4634146,72.8121951,72.9609756,73.0121951,73.6121951,73.8146341,74.3170732,74.7682927,75.2170732,75.2658537,75.5682927,75.6170732,75.8170732,76.0682927,76.4195122,76.6682927,76.8707317,77.3195122,77.6707317,77.8756098,78.1268293,78.5756098,78.6780488,78.6317073,79.1804878,79.3317073,79.8804878,80.1804878,80.4317073,80.3317073,80.5804878,80.9829268,80.9365854,81.1365854,81.4902439,81.1902439,81.6414634,81.6439024,81.6926829,935.4604,1031.815,1087.834,1167.001,1269.413,1374.532,1486.969,1569.667,1677.674,1825.386,2058.769,2380.978,2924.049,3890.722,4630.757,5285.621,5678.387,6810.628,8205.469,9793.765,10869.55,9385.249,9410.347,9537.407,8991.065,9172.097,13083.07,16392.77,17578.62,17468.95,21680.99,22410.91,24880.16,24081.53,25646.7,30325.85,29809.08,26705.48,27361.88,27174.3,24564.46,24537.51,26401.75,32222.9,36821.52,38403.13,40635.28,46855.77,51708.77,47963.18,46858.04,51374.96,48567.7,50716.71,51717.5,44178.05,45237.81,47549.08,51525.05,50277.28
Azerbaijan,80,5.212,81,5.291,85,5.234000206,87,5.201,90,5.208,61.034,61.256,61.469,61.679,61.889,62.104,62.322,62.539,62.75,62.953,63.141,63.31,63.457,63.582,63.687,63.776,63.852,63.921,63.992,64.069,64.161,64.28,64.425,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324,1209.237,676.1515,529.8137,436.2169,397.1981,409.2108,505.5638,561.907,573.8933,655.0974,703.6838,763.0806,883.644,1045.009,1578.402,2473.082,3851.438,5574.604,4950.295,5842.806,7189.691,7496.295,7875.757,7891.313,5500.31,3880.739,4147.09,4739.842,4793.587
Bahrain,49,5.96,42,6.218,41,6.086999893,43,6.105,37,6.199,51.869,53.235,54.59,55.911,57.182,58.388,59.524,60.596,61.609,62.56,63.449,64.275,65.042,65.757,66.421,67.04,67.616,68.152,68.651,69.117,69.55,69.951,70.317,70.651,70.957,71.237,71.496,71.736,71.962,72.178,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,,,,,,,,,,,,,,,,,,,,,8537.929,9269.27,9446.158,9421.286,9590.73,8706.767,7041.602,7555.1,7958.748,8030.905,8528.983,9055.68,9082.759,9698.189,10130.51,10376.97,10544.7,10672.17,10076.22,10401.55,13636.4,12868.27,13049.8,14222.04,15846.54,17959.26,19307.61,20976.54,23066.53,19355.9,20722.14,22514.24,23654.35,24744.3,24989.4,22688.94,22619.12,23709.43,23991.06,23503.98
Bangladesh,109,4.694,110,4.643,110,4.607999802,115,4.5,125,4.456,45.379,45.97,46.557,47.126,47.649,48.05,48.236,48.176,47.888,47.432,46.942,46.589,46.507,46.773,47.396,48.313,49.402,50.498,51.473,52.277,52.9,53.376,53.794,54.225,54.693,55.21,55.772,56.359,56.958,57.571,58.21,58.891,59.618,60.388,61.19,62.002,62.798,63.553,64.25,64.881,65.447,65.956,66.43,66.886,67.331,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,89.03524,97.59527,100.1221,101.9014,100.2211,106.6466,112.6654,122.8706,122.8476,135.1474,140.0027,133.5514,94.38168,119.5597,182.02,277.5706,141.1972,131.3732,176.0339,200.7697,227.7519,247.6496,220.7188,204.4177,213.9967,245.4539,233.658,253.9745,270.6996,285.8292,306.2687,293.1604,293.645,300.5558,299.533,329.4241,394.7175,401.4987,407.4292,409.5432,418.069,415.0344,413.0803,446.3107,475.2919,499.4619,509.6401,558.0519,634.9871,702.2644,781.1536,861.7584,883.105,981.8399,1118.854,1248.453,1401.62,1563.914,1698.35,1855.74
Belarus,59,5.813,61,5.802,67,5.568999767,73,5.483,81,5.323,67.7080976,68.2126585,68.6358293,68.9920732,69.2899268,69.5374146,69.7346098,69.8816585,69.9826341,70.0451463,70.0792439,70.093,70.0924146,70.082439,70.0680732,70.0482683,70.0159024,69.9674146,69.9063171,69.8416341,69.8020244,69.8191707,69.9082195,70.0646585,70.2719268,70.9926829,71.5495122,70.9902439,71.3414634,71.4829268,70.8365854,70.3780488,70.0219512,68.9707317,68.7682927,68.4609756,68.5121951,68.4609756,68.4073171,67.9073171,68.9121951,68.5073171,68.0560976,68.5536585,68.9560976,68.8512195,69.404878,70.2073171,70.4560976,70.4073171,70.404878,70.5536585,71.9658537,72.4707317,72.9707317,73.6243902,73.8268293,74.1292683,74.1756098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.841,1765.745,1667.682,1590.096,1460.059,1370.677,1452.445,1396.502,1511.77,1210.612,1276.288,1244.373,1479.315,1819.766,2378.623,3125.811,3847.434,4735.658,6377.37,5351.355,6029.397,6519.23,6940.159,7978.873,8318.513,5949.106,5022.627,5761.747,6330.075,6663.295
Belgium,19,6.937,18,6.929,17,6.890999794,16,6.927,18,6.923,69.7019512,70.5209756,70.2195122,70.0514634,70.755122,70.6253659,70.7063415,71.0129268,70.6931707,70.764878,70.9719512,71.0604878,71.405122,71.6353659,71.9858537,71.9712195,72.1197561,72.7739024,72.6980488,73.1936585,73.2070732,73.6217073,73.8880488,73.8690244,74.404878,74.5202439,74.7317073,75.3658537,75.5658537,75.6326829,76.0519512,76.1921951,76.3512195,76.3453659,76.6917073,76.8407317,77.1873171,77.3707317,77.4731707,77.6195122,77.7219512,77.9731707,78.0756098,78.1292683,78.8780488,78.9804878,79.3804878,79.7829268,79.6804878,80.0341463,80.1829268,80.5853659,80.3853659,80.5878049,81.2878049,80.9926829,81.4390244,81.4926829,81.595122,1273.692,1350.198,1438.523,1535.024,1701.846,1835.595,1957.626,2086.636,2222.362,2458.082,2765.891,3082.928,3831.632,4900.962,5733.798,6701.377,7243.047,8426.947,10289.77,11810.62,12864,10622.8,9343.861,8846.234,8457.269,8750.819,12170.04,15135.85,16391.09,16525.06,20600.38,21041.66,23372.62,22283.94,24208.55,28413.83,27489.56,24820.94,25338.44,25244.28,23041.53,22995.16,24887.56,30587.67,35364.38,36795.98,38672.71,44262.9,48106.89,44583.54,44141.88,47348.53,44673.12,46744.66,47700.54,40991.81,41998.34,44288.51,47491.32,46116.7
Benin,155,3.34,52,5.956,50,5.955999851,49,5.956,102,4.883,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781,44.337,44.882,45.399,45.883,46.335,46.764,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,93.02251,95.57215,94.46453,99.85911,104.3398,110.1328,112.9408,111.9516,116.8951,116.0251,114.5566,112.5701,134.8194,161.9874,174.0141,207.3004,208.6562,218.4544,263.5811,327.8217,378.0439,337.9782,322.7777,271.1292,252.8698,244.411,303.3489,344.5031,346.736,311.6783,393.6862,385.7536,317.9629,411.926,279.6665,367.3873,387.4329,361.1003,379.4424,551.6194,511.4002,517.6142,572.2288,709.6905,797.3127,822.4578,855.294,964.9269,1120.888,1084.394,1036.534,1130.273,1145.141,1251.211,1291.41,1076.798,1087.288,1136.593,1240.829,1219.433
Bhutan,79,5.253,153,3.484,143,3.657000065,136,4.141,95,5.082,34.526,34.889,35.29,35.734,36.22,36.745,37.303,37.882,38.469,39.057,39.635,40.194,40.735,41.263,41.784,42.311,42.861,43.447,44.077,44.751,45.464,46.204,46.954,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.878,53.633,54.384,55.131,55.878,56.636,57.418,58.236,59.089,59.974,60.884,61.808,62.728,63.624,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,,,,,,,,,,,,,,,,,,,,,333.4029,350.1263,347.2197,376.484,374.9147,370.9458,420.6791,512.1916,557.0825,528.4584,564.7796,467.6971,469.199,441.6848,509.1241,566.8577,584.3792,663.3289,667.9136,725.1247,718.1878,764.4366,845.5103,962.0969,1068.422,1228.442,1330.965,1757.183,1828.149,1819.213,2258.183,2563.258,2538.946,2472.714,2652.215,2752.664,2930.563,3286.575,3243.231,
Bolivia,51,5.89,84,5.196,97,5.011000156,97,5.082,61,5.779,41.82,42.15,42.49,42.84,43.199,43.568,43.947,44.337,44.737,45.147,45.568,45.999,46.441,46.893,47.355,47.828,48.312,48.806,49.31,49.824,50.349,50.883,51.427,51.98,52.543,53.115,53.695,54.284,54.881,55.486,56.099,56.721,57.351,57.989,58.631,59.276,59.922,60.566,61.204,61.835,62.452,63.054,63.64,64.21,64.766,65.312,65.853,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,102.2379,109.061,116.9252,123.4293,136.3124,149.6401,162.3261,179.5833,199.6298,211.7971,226.807,239.1281,268.5841,263.8924,429.2976,480.8031,534.2735,617.3069,703.1363,809.4113,811.2849,1030.833,960.9836,913.9752,1019.058,870.1856,627.3985,671.0751,698.6926,701.6661,709.0597,762.078,788.152,784.1917,801.046,880.9922,950.8565,998.5153,1049.499,1003.392,997.5825,948.8712,904.2266,907.5371,967.407,1034.311,1218.874,1372.628,1715.209,1754.211,1955.462,2346.337,2609.881,2908.2,3081.879,3035.972,3076.659,3351.124,3548.59,3552.069
Bosnia and Herzegovina,96,4.949,59,5.822,58,5.822999954,62,5.752,78,5.386,60.353,61.019,61.646,62.243,62.818,63.381,63.94,64.499,65.059,65.621,66.187,66.756,67.32,67.867,68.39,68.872,69.296,69.657,69.954,70.193,70.399,70.601,70.82,71.061,71.315,71.534,71.65,71.626,71.461,71.184,70.877,70.645,70.577,70.725,71.093,71.645,72.307,72.976,73.569,74.05,74.403,74.637,74.803,74.941,75.068,75.198,75.342,75.498,75.665,75.844,76.031,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.013,487.4768,740.0985,982.8018,1102.391,1251.747,1467.776,1530.815,1769.2,2224.746,2815,2980.602,3416.511,4193.374,5090.932,4714.702,4635.518,5092.552,4778.636,5131.395,5329.635,4727.278,4994.683,5394.591,6072.181,6073.265
